;;;t;V in;V out
Record Length;2,50E+03;;-0,0000294;5;
Sample Interval;2,00E-08;;-0,00002938;4,96;
Trigger Point;1,47E+03;;-0,00002936;4,96;
;;;-0,00002934;4,96;
;;;-0,00002932;5;
;;;-0,0000293;4,96;
Source;CH2;;-0,00002928;4,96;
Vertical Units;V;;-0,00002926;5,04;
Vertical Scale;1,00E+00;;-0,00002924;4,96;
Vertical Offset;-1,68E+00;;-0,00002922;5;
Horizontal Units;s;;-0,0000292;5;
Horizontal Scale;5,00E-06;;-0,00002918;5;
Pt Fmt;Y;;-0,00002916;5;
Yzero;0,00E+00;;-0,00002914;5;
Probe Atten;1,00E+00;;-0,00002912;5;
Model Number;TBS1072B-EDU;;-0,0000291;5,04;
Serial Number;C015526;;-0,00002908;4,96;
Firmware Version;FV:v4,06;;-0,00002906;4,96;
;;;-0,00002904;4,96;
;;;-0,00002902;5;
;;;-0,000029;5;
;;;-0,00002898;4,96;
;;;-0,00002896;4,96;
;;;-0,00002894;4,96;
;;;-0,00002892;5;
;;;-0,0000289;5;
;;;-0,00002888;4,96;
;;;-0,00002886;5,04;
;;;-0,00002884;4,96;
;;;-0,00002882;5;
;;;-0,0000288;4,96;
;;;-0,00002878;5;
;;;-0,00002876;5,04;
;;;-0,00002874;5;
;;;-0,00002872;4,96;
;;;-0,0000287;5;
;;;-0,00002868;4,92;
;;;-0,00002866;5;
;;;-0,00002864;4,96;
;;;-0,00002862;4,96;
;;;-0,0000286;5;
;;;-0,00002858;4,96;
;;;-0,00002856;4,96;
;;;-0,00002854;4,96;
;;;-0,00002852;5;
;;;-0,0000285;5;
;;;-0,00002848;4,96;
;;;-0,00002846;5;
;;;-0,00002844;4,92;
;;;-0,00002842;5;
;;;-0,0000284;5;
;;;-0,00002838;4,96;
;;;-0,00002836;4,96;
;;;-0,00002834;5;
;;;-0,00002832;4,96;
;;;-0,0000283;5;
;;;-0,00002828;4,96;
;;;-0,00002826;4,96;
;;;-0,00002824;4,96;
;;;-0,00002822;5;
;;;-0,0000282;4,92;
;;;-0,00002818;5;
;;;-0,00002816;5;
;;;-0,00002814;4,96;
;;;-0,00002812;4,96;
;;;-0,0000281;5;
;;;-0,00002808;4,96;
;;;-0,00002806;5;
;;;-0,00002804;4,96;
;;;-0,00002802;5;
;;;-0,000028;5;
;;;-0,00002798;5;
;;;-0,00002796;5;
;;;-0,00002794;4,96;
;;;-0,00002792;4,96;
;;;-0,0000279;5;
;;;-0,00002788;4,96;
;;;-0,00002786;5;
;;;-0,00002784;4,96;
;;;-0,00002782;4,96;
;;;-0,0000278;5;
;;;-0,00002778;4,96;
;;;-0,00002776;4,96;
;;;-0,00002774;4,96;
;;;-0,00002772;4,96;
;;;-0,0000277;4,92;
;;;-0,00002768;5;
;;;-0,00002766;4,96;
;;;-0,00002764;4,92;
;;;-0,00002762;4,96;
;;;-0,0000276;4,96;
;;;-0,00002758;5,04;
;;;-0,00002756;5;
;;;-0,00002754;4,96;
;;;-0,00002752;4,92;
;;;-0,0000275;4,96;
;;;-0,00002748;5;
;;;-0,00002746;5;
;;;-0,00002744;5;
;;;-0,00002742;5;
;;;-0,0000274;4,96;
;;;-0,00002738;4,92;
;;;-0,00002736;4,96;
;;;-0,00002734;4,96;
;;;-0,00002732;5;
;;;-0,0000273;4,96;
;;;-0,00002728;5;
;;;-0,00002726;5;
;;;-0,00002724;4,96;
;;;-0,00002722;4,96;
;;;-0,0000272;4,96;
;;;-0,00002718;4,96;
;;;-0,00002716;4,96;
;;;-0,00002714;5,04;
;;;-0,00002712;5;
;;;-0,0000271;4,96;
;;;-0,00002708;4,96;
;;;-0,00002706;4,96;
;;;-0,00002704;4,96;
;;;-0,00002702;5;
;;;-0,000027;4,96;
;;;-0,00002698;4,96;
;;;-0,00002696;5;
;;;-0,00002694;4,92;
;;;-0,00002692;4,96;
;;;-0,0000269;4,96;
;;;-0,00002688;4,96;
;;;-0,00002686;5;
;;;-0,00002684;5;
;;;-0,00002682;5;
;;;-0,0000268;4,96;
;;;-0,00002678;5,04;
;;;-0,00002676;4,96;
;;;-0,00002674;4,96;
;;;-0,00002672;5;
;;;-0,0000267;4,92;
;;;-0,00002668;4,96;
;;;-0,00002666;4,96;
;;;-0,00002664;4,96;
;;;-0,00002662;5;
;;;-0,0000266;4,96;
;;;-0,00002658;4,96;
;;;-0,00002656;4,96;
;;;-0,00002654;4,96;
;;;-0,00002652;4,96;
;;;-0,0000265;4,96;
;;;-0,00002648;5;
;;;-0,00002646;4,96;
;;;-0,00002644;4,96;
;;;-0,00002642;5;
;;;-0,0000264;4,96;
;;;-0,00002638;4,96;
;;;-0,00002636;4,96;
;;;-0,00002634;4,96;
;;;-0,00002632;5;
;;;-0,0000263;5;
;;;-0,00002628;4,92;
;;;-0,00002626;4,92;
;;;-0,00002624;4,96;
;;;-0,00002622;5;
;;;-0,0000262;5;
