;;;t;Vin;Vout
Record Length;2,50E+03;;-0,000202;0,5984;0,0879
Sample Interval;2,00E-07;;-0,0002018;0,5984;0,08397
Trigger Point;1,01E+03;;-0,0002016;0,5984;0,08659
;;;-0,0002014;0,6256;0,08659
;;;-0,0002012;0,544;0,08528
;;;-0,000201;0,6256;0,08397
Source;CH1;;-0,0002008;0,5984;0,08266
Vertical Units;V;;-0,0002006;0,6256;0,08266
Vertical Scale;6,80E-01;;-0,0002004;0,5712;0,08659
Vertical Offset;-2,07E+00;;-0,0002002;0,5984;0,08397
Horizontal Units;s;;-0,0002;0,5984;0,08528
Horizontal Scale;5,00E-05;;-0,0001998;0,6256;0,08659
Pt Fmt;Y;;-0,0001996;0,5984;0,08397
Yzero;0,00E+00;;-0,0001994;0,5984;0,08397
Probe Atten;1,00E+00;;-0,0001992;0,5984;0,08397
Model Number;TBS1072B-EDU;;-0,000199;0,5984;0,08528
Serial Number;C015526;;-0,0001988;0,6256;0,08659
Firmware Version;FV:v4,06;;-0,0001986;0,5712;0,08659
;;;-0,0001984;0,6256;0,08397
;;;-0,0001982;0,6528;0,08528
;;;-0,000198;0,6256;0,08266
;;;-0,0001978;0,5712;0,08528
;;;-0,0001976;0,6256;0,08134
;;;-0,0001974;0,6256;0,08397
;;;-0,0001972;0,5712;0,08659
;;;-0,000197;0,6256;0,08397
;;;-0,0001968;0,6256;0,08397
;;;-0,0001966;0,6528;0,08528
;;;-0,0001964;0,6256;0,08659
;;;-0,0001962;0,5984;0,08397
;;;-0,000196;0,68;0,08528
;;;-0,0001958;0,6528;0,08528
;;;-0,0001956;0,6256;0,08528
;;;-0,0001954;0,6528;0,08528
;;;-0,0001952;0,6256;0,08397
;;;-0,000195;0,6528;0,08397
;;;-0,0001948;0,7072;0,08397
;;;-0,0001946;0,6256;0,08397
;;;-0,0001944;0,6528;0,08528
;;;-0,0001942;0,6528;0,08397
;;;-0,000194;0,68;0,08397
;;;-0,0001938;0,7072;0,08397
;;;-0,0001936;0,6528;0,08397
;;;-0,0001934;0,6528;0,08397
;;;-0,0001932;0,6528;0,08397
;;;-0,000193;0,6256;0,08659
;;;-0,0001928;0,68;0,08397
;;;-0,0001926;0,6256;0,0879
;;;-0,0001924;0,68;0,08397
;;;-0,0001922;0,7072;0,08397
;;;-0,000192;0,7072;0,08528
;;;-0,0001918;0,7344;0,08528
;;;-0,0001916;0,7344;0,08528
;;;-0,0001914;0,6528;0,08528
;;;-0,0001912;0,68;0,08659
;;;-0,000191;0,6528;0,08528
