;;;t;Vin;Vout
Record Length;2,50E+03;;-0,000236;4,032;-1,2
Sample Interval;2,00E-07;;-0,0002358;4,032;-1,2
Trigger Point;1,18E+03;;-0,0002356;4,032;-1,2
;;;-0,0002354;4,032;-1,2
;;;-0,0002352;4,032;-1,2
;;;-0,000235;4,032;-1,2
Source;CH1;;-0,0002348;4,032;-1,2
Vertical Units;V;;-0,0002346;4,032;-1,2
Vertical Scale;7,00E-01;;-0,0002344;4,032;-1,2
Vertical Offset;-1,76E+00;;-0,0002342;4,032;-1,2
Horizontal Units;s;;-0,000234;4,032;-1,2
Horizontal Scale;5,00E-05;;-0,0002338;4,032;-1,2
Pt Fmt;Y;;-0,0002336;4,032;-1,2
Yzero;0,00E+00;;-0,0002334;4,032;-1,2
Probe Atten;1,00E+00;;-0,0002332;4,032;-1,2
Model Number;TBS1072B-EDU;;-0,000233;4,032;-1,2
Serial Number;C015526;;-0,0002328;4,004;-1,2
Firmware Version;FV:v4,06;;-0,0002326;4,004;-1,2
;;;-0,0002324;4,032;-1,2
;;;-0,0002322;4,032;-1,2
;;;-0,000232;4,004;-1,2
;;;-0,0002318;4,004;-1,2
;;;-0,0002316;4,004;-1,2
;;;-0,0002314;4,004;-1,2
;;;-0,0002312;4,004;-1,2
;;;-0,000231;4,004;-1,2
;;;-0,0002308;4,004;-1,2
;;;-0,0002306;4,004;-1,2
;;;-0,0002304;4,004;-1,2
;;;-0,0002302;4,004;-1,2
;;;-0,00023;4,004;-1,184
;;;-0,0002298;4,004;-1,184
;;;-0,0002296;4,004;-1,184
;;;-0,0002294;4,004;-1,184
;;;-0,0002292;3,976;-1,184
;;;-0,000229;4,004;-1,184
;;;-0,0002288;4,004;-1,184
;;;-0,0002286;3,976;-1,184
;;;-0,0002284;3,976;-1,184
;;;-0,0002282;3,976;-1,184
;;;-0,000228;3,976;-1,184
;;;-0,0002278;3,976;-1,184
;;;-0,0002276;3,976;-1,184
;;;-0,0002274;3,976;-1,184
;;;-0,0002272;3,976;-1,184
;;;-0,000227;3,976;-1,184
;;;-0,0002268;3,976;-1,168
;;;-0,0002266;3,976;-1,168
;;;-0,0002264;3,976;-1,168
;;;-0,0002262;3,976;-1,184
;;;-0,000226;3,948;-1,168
;;;-0,0002258;3,948;-1,168
;;;-0,0002256;3,976;-1,168
;;;-0,0002254;3,948;-1,168
;;;-0,0002252;3,948;-1,168
;;;-0,000225;3,948;-1,168
;;;-0,0002248;3,948;-1,168
;;;-0,0002246;3,948;-1,168
;;;-0,0002244;3,948;-1,168
;;;-0,0002242;3,948;-1,168
;;;-0,000224;3,948;-1,168
;;;-0,0002238;3,948;-1,168
;;;-0,0002236;3,948;-1,168
;;;-0,0002234;3,948;-1,152
;;;-0,0002232;3,948;-1,168
;;;-0,000223;3,948;-1,152
;;;-0,0002228;3,948;-1,152
;;;-0,0002226;3,92;-1,152
;;;-0,0002224;3,92;-1,152
;;;-0,0002222;3,92;-1,152
;;;-0,000222;3,92;-1,152
;;;-0,0002218;3,92;-1,152
;;;-0,0002216;3,92;-1,152
;;;-0,0002214;3,92;-1,152
;;;-0,0002212;3,92;-1,152
;;;-0,000221;3,92;-1,152
;;;-0,0002208;3,92;-1,152
;;;-0,0002206;3,92;-1,152
;;;-0,0002204;3,92;-1,152
;;;-0,0002202;3,92;-1,152
;;;-0,00022;3,92;-1,152
;;;-0,0002198;3,92;-1,136
;;;-0,0002196;3,92;-1,136
;;;-0,0002194;3,92;-1,136
;;;-0,0002192;3,892;-1,136
;;;-0,000219;3,92;-1,136
;;;-0,0002188;3,92;-1,136
;;;-0,0002186;3,892;-1,136
;;;-0,0002184;3,892;-1,136
;;;-0,0002182;3,892;-1,136
;;;-0,000218;3,892;-1,136
;;;-0,0002178;3,892;-1,136
;;;-0,0002176;3,892;-1,136
;;;-0,0002174;3,892;-1,136
;;;-0,0002172;3,892;-1,136
;;;-0,000217;3,892;-1,136
;;;-0,0002168;3,892;-1,136
;;;-0,0002166;3,892;-1,136
;;;-0,0002164;3,892;-1,12
;;;-0,0002162;3,892;-1,12
;;;-0,000216;3,892;-1,12
;;;-0,0002158;3,892;-1,12
;;;-0,0002156;3,892;-1,12
