;;;t;Vin;Vout
Record Length;2,50E+03;;-0,0000294;0,456;5
Sample Interval;2,00E-08;;-0,00002938;0,456;4,96
Trigger Point;1,47E+03;;-0,00002936;0,472;4,96
;;;-0,00002934;0,456;4,96
;;;-0,00002932;0,456;5
;;;-0,0000293;0,464;4,96
Source;CH1;;-0,00002928;0,456;4,96
Vertical Units;V;;-0,00002926;0,456;5,04
Vertical Scale;2,00E-01;;-0,00002924;0,456;4,96
Vertical Offset;-3,44E-01;;-0,00002922;0,464;5
Horizontal Units;s;;-0,0000292;0,448;5
Horizontal Scale;5,00E-06;;-0,00002918;0,456;5
Pt Fmt;Y;;-0,00002916;0,464;5
Yzero;0,00E+00;;-0,00002914;0,456;5
Probe Atten;1,00E+00;;-0,00002912;0,456;5
Model Number;TBS1072B-EDU;;-0,0000291;0,456;5,04
Serial Number;C015526;;-0,00002908;0,456;4,96
Firmware Version;FV:v4,06;;-0,00002906;0,464;4,96
;;;-0,00002904;0,456;4,96
;;;-0,00002902;0,456;5
;;;-0,000029;0,456;5
;;;-0,00002898;0,456;4,96
;;;-0,00002896;0,464;4,96
;;;-0,00002894;0,456;4,96
;;;-0,00002892;0,472;5
;;;-0,0000289;0,456;5
;;;-0,00002888;0,464;4,96
;;;-0,00002886;0,456;5,04
;;;-0,00002884;0,456;4,96
;;;-0,00002882;0,464;5
;;;-0,0000288;0,464;4,96
;;;-0,00002878;0,464;5
;;;-0,00002876;0,472;5,04
;;;-0,00002874;0,464;5
;;;-0,00002872;0,464;4,96
;;;-0,0000287;0,464;5
;;;-0,00002868;0,456;4,92
;;;-0,00002866;0,472;5
;;;-0,00002864;0,464;4,96
;;;-0,00002862;0,456;4,96
;;;-0,0000286;0,472;5
;;;-0,00002858;0,456;4,96
;;;-0,00002856;0,456;4,96
;;;-0,00002854;0,456;4,96
;;;-0,00002852;0,464;5
;;;-0,0000285;0,464;5
;;;-0,00002848;0,464;4,96
;;;-0,00002846;0,456;5
;;;-0,00002844;0,456;4,92
;;;-0,00002842;0,472;5
;;;-0,0000284;0,464;5
;;;-0,00002838;0,464;4,96
;;;-0,00002836;0,472;4,96
;;;-0,00002834;0,464;5
;;;-0,00002832;0,464;4,96
;;;-0,0000283;0,472;5
;;;-0,00002828;0,464;4,96
;;;-0,00002826;0,464;4,96
;;;-0,00002824;0,472;4,96
;;;-0,00002822;0,464;5
;;;-0,0000282;0,456;4,92
;;;-0,00002818;0,464;5
;;;-0,00002816;0,472;5
;;;-0,00002814;0,48;4,96
;;;-0,00002812;0,472;4,96
;;;-0,0000281;0,472;5
;;;-0,00002808;0,464;4,96
;;;-0,00002806;0,464;5
;;;-0,00002804;0,472;4,96
;;;-0,00002802;0,464;5
;;;-0,000028;0,472;5
;;;-0,00002798;0,464;5
;;;-0,00002796;0,464;5
;;;-0,00002794;0,464;4,96
;;;-0,00002792;0,464;4,96
;;;-0,0000279;0,464;5
;;;-0,00002788;0,464;4,96
;;;-0,00002786;0,464;5
;;;-0,00002784;0,464;4,96
;;;-0,00002782;0,472;4,96
;;;-0,0000278;0,464;5
;;;-0,00002778;0,464;4,96
;;;-0,00002776;0,48;4,96
;;;-0,00002774;0,464;4,96
