;;;t;Vin;Vout
Record Length;2.500000e+03;;  -0.000236000000;   4.08800;-1,2
Sample Interval;2.000000e-07;;  -0.000235800000;   4.03200;-1,2
Trigger Point;1.180000000000e+03;;  -0.000235600000;   4.08800;-1,2
;;;  -0.000235400000;   4.06000;-1,2
;;;  -0.000235200000;   4.00400;-1,184
;;;  -0.000235000000;   4.03200;-1,2
Source;CH1;;  -0.000234800000;   4.06000;-1,216
Vertical Units;V;;  -0.000234600000;   4.08800;-1,2
Vertical Scale;7.000000e-01;;  -0.000234400000;   4.06000;-1,2
Vertical Offset;-1.764000e+00;;  -0.000234200000;   4.03200;-1,184
Horizontal Units;s;;  -0.000234000000;   4.06000;-1,2
Horizontal Scale;5.000000e-05;;  -0.000233800000;   3.97600;-1,2
Pt Fmt;Y;;  -0.000233600000;   4.06000;-1,184
Yzero;0.000000e+00;;  -0.000233400000;   4.06000;-1,2
Probe Atten;1.000000e+00;;  -0.000233200000;   4.00400;-1,216
Model Number;TBS1072B-EDU;;  -0.000233000000;   4.06000;-1,184
Serial Number;C015526;;  -0.000232800000;   4.00400;-1,216
Firmware Version;FV:v4.06;;  -0.000232600000;   4.00400;-1,184
;;;-00.000232400000;   4.00400;-1,184
;;;-00.000232200000;   4.00400;-1,168
;;;-00.000232000000;   4.06000;-1,2
;;;-00.000231800000;   4.00400;-1,184
;;;-00.000231600000;   4.03200;-1,184
;;;-00.000231400000;   4.03200;-1,184
;;;-00.000231200000;   4.00400;-1,216
;;;-00.000231000000;   4.00400;-1,184
;;;-00.000230800000;   3.97600;-1,2
;;;-00.000230600000;   4.03200;-1,2
;;;-00.000230400000;   3.97600;-1,216
;;;-00.000230200000;   4.00400;-1,184
;;;-00.000230000000;   4.03200;-1,2
;;;-00.000229800000;   4.00400;-1,184
;;;-00.000229600000;   3.97600;-1,168
;;;-00.000229400000;   3.97600;-1,184
;;;-00.000229200000;   3.92000;-1,168
;;;-00.000229000000;   4.00400;-1,168
;;;-00.000228800000;   4.03200;-1,2
;;;-00.000228600000;   3.94800;-1,184
;;;-00.000228400000;   3.94800;-1,168
;;;-00.000228200000;   3.97600;-1,168
;;;-00.000228000000;   4.03200;-1,184
;;;-00.000227800000;   3.94800;-1,184
;;;-00.000227600000;   3.97600;-1,168
;;;-00.000227400000;   3.97600;-1,184
;;;-00.000227200000;   3.97600;-1,184
;;;-00.000227000000;   3.97600;-1,168
;;;-00.000226800000;   3.94800;-1,184
;;;-00.000226600000;   4.00400;-1,184
;;;-00.000226400000;   3.94800;-1,168
;;;-00.000226200000;   3.94800;-1,168
;;;-00.000226000000;   3.97600;-1,152
;;;-00.000225800000;   3.97600;-1,152
;;;-00.000225600000;   3.94800;-1,152
;;;-00.000225400000;   4.00400;-1,2
;;;-00.000225200000;   3.92000;-1,184
;;;-00.000225000000;   3.89200;-1,168
;;;-00.000224800000;   4.00400;-1,136
;;;-00.000224600000;   3.94800;-1,168
;;;-00.000224400000;   3.92000;-1,168
;;;-00.000224200000;   3.94800;-1,168
;;;-00.000224000000;   3.92000;-1,168
;;;-00.000223800000;   3.94800;-1,184
;;;-00.000223600000;   3.97600;-1,184
;;;-00.000223400000;   3.94800;-1,168
;;;-00.000223200000;   3.97600;-1,168
;;;-00.000223000000;   3.92000;-1,184
;;;-00.000222800000;   3.97600;-1,168
;;;-00.000222600000;   3.92000;-1,152
;;;-00.000222400000;   3.94800;-1,136
;;;-00.000222200000;   3.97600;-1,152
;;;-00.000222000000;   3.92000;-1,168
;;;-00.000221800000;   3.92000;-1,152
;;;-00.000221600000;   3.97600;-1,136
;;;-00.000221400000;   3.94800;-1,136
;;;-00.000221200000;   3.92000;-1,152
;;;-00.000221000000;   3.92000;-1,152
;;;-00.000220800000;   3.92000;-1,152
;;;-00.000220600000;   3.92000;-1,152
;;;-00.000220400000;   3.92000;-1,168
;;;-00.000220200000;   3.89200;-1,136
;;;-00.000220000000;   3.89200;-1,136
;;;-00.000219800000;   3.94800;-1,136
;;;-00.000219600000;   3.89200;-1,168
;;;-00.000219400000;   3.92000;-1,136
;;;-00.000219200000;   3.89200;-1,152
;;;-00.000219000000;   3.92000;-1,152
;;;-00.000218800000;   3.94800;-1,152
;;;-00.000218600000;   3.94800;-1,136
;;;-00.000218400000;   3.89200;-1,136
;;;-00.000218200000;   3.94800;-1,12
;;;-00.000218000000;   3.86400;-1,136
;;;-00.000217800000;   3.89200;-1,104
;;;-00.000217600000;   3.89200;-1,104
;;;-00.000217400000;   3.86400;-1,136
;;;-00.000217200000;   3.89200;-1,12
;;;-00.000217000000;   3.89200;-1,12
;;;-00.000216800000;   3.86400;-1,136
;;;-00.000216600000;   3.92000;-1,104
;;;-00.000216400000;   3.89200;-1,12
;;;-00.000216200000;   3.89200;-1,12
;;;-00.000216000000;   3.89200;-1,136
;;;-00.000215800000;   3.89200;-1,136
;;;-00.000215600000;   3.89200;-1,12
;;;-00.000215400000;   3.86400;-1,104
;;;-00.000215200000;   3.86400;-1,12
;;;-00.000215000000;   3.89200;-1,12
;;;-00.000214800000;   3.89200;-1,104
;;;-00.000214600000;   3.83600;-1,12
;;;-00.000214400000;   3.83600;-1,12
;;;-00.000214200000;   3.86400;-1,12
;;;-00.000214000000;   3.80800;-1,12
;;;-00.000213800000;   3.86400;-1,104
;;;-00.000213600000;   3.89200;-1,12
;;;-00.000213400000;   3.86400;-1,12
;;;-00.000213200000;   3.86400;-1,104
;;;-00.000213000000;   3.86400;-1,104
;;;-00.000212800000;   3.83600;-1,12
;;;-00.000212600000;   3.86400;-1,104
;;;-00.000212400000;   3.80800;-1,104
;;;-00.000212200000;   3.83600;-1,104
;;;-00.000212000000;   3.83600;-1,088
;;;-00.000211800000;   3.86400;-1,088
;;;-00.000211600000;   3.86400;-1,104
;;;-00.000211400000;   3.83600;-1,12
;;;-00.000211200000;   3.86400;-1,104
;;;-00.000211000000;   3.83600;-1,088
;;;-00.000210800000;   3.86400;-1,104
;;;-00.000210600000;   3.78000;-1,104
;;;-00.000210400000;   3.80800;-1,104
;;;-00.000210200000;   3.80800;-1,104
;;;-00.000210000000;   3.83600;-1,088
;;;-00.000209800000;   3.80800;-1,104
;;;-00.000209600000;   3.78000;-1,088
;;;-00.000209400000;   3.78000;-1,104
;;;-00.000209200000;   3.83600;-1,088
;;;-00.000209000000;   3.83600;-1,088
;;;-00.000208800000;   3.80800;-1,104
;;;-00.000208600000;   3.83600;-1,104
;;;-00.000208400000;   3.83600;-1,104
;;;-00.000208200000;   3.86400;-1,104
;;;-00.000208000000;   3.78000;-1,104
;;;-00.000207800000;   3.78000;-1,104
;;;-00.000207600000;   3.78000;-1,088
;;;-00.000207400000;   3.78000;-1,056
;;;-00.000207200000;   3.78000;-1,072
;;;-00.000207000000;   3.80800;-1,088
;;;-00.000206800000;   3.78000;-1,104
;;;-00.000206600000;   3.80800;-1,088
;;;-00.000206400000;   3.80800;-1,104
;;;-00.000206200000;   3.83600;-1,072
;;;-00.000206000000;   3.78000;-1,056
;;;-00.000205800000;   3.75200;-1,088
;;;-00.000205600000;   3.78000;-1,072
;;;-00.000205400000;   3.78000;-1,088
;;;-00.000205200000;   3.78000;-1,056
;;;-00.000205000000;   3.80800;-1,072
;;;-00.000204800000;   3.78000;-1,056
;;;-00.000204600000;   3.80800;-1,056
;;;-00.000204400000;   3.75200;-1,056
;;;-00.000204200000;   3.80800;-1,072
;;;-00.000204000000;   3.80800;-1,072
;;;-00.000203800000;   3.75200;-1,072
;;;-00.000203600000;   3.83600;-1,072
;;;-00.000203400000;   3.83600;-1,056
;;;-00.000203200000;   3.75200;-1,072
;;;-00.000203000000;   3.72400;-1,072
;;;-00.000202800000;   3.72400;-1,056
;;;-00.000202600000;   3.78000;-1,04
;;;-00.000202400000;   3.80800;-1,04
;;;-00.000202200000;   3.78000;-1,04
;;;-00.000202000000;   3.78000;-1,056
;;;-00.000201800000;   3.78000;-1,056
;;;-00.000201600000;   3.75200;-1,04
;;;-00.000201400000;   3.75200;-1,04
;;;-00.000201200000;   3.72400;-1,04
;;;-00.000201000000;   3.78000;-1,056
;;;-00.000200800000;   3.78000;-1,056
;;;-00.000200600000;   3.75200;-1,056
;;;-00.000200400000;   3.72400;-1,072
;;;-00.000200200000;   3.72400;-1,04
;;;-00.000200000000;   3.75200;-1,056
;;;-00.000199800000;   3.75200;-1,056
;;;-00.000199600000;   3.75200;-1,024
;;;-00.000199400000;   3.75200;-1,056
;;;-00.000199200000;   3.72400;-1,04
;;;-00.000199000000;   3.80800;-1,04
;;;-00.000198800000;   3.75200;-1,024
;;;-00.000198600000;   3.72400;-1,04
;;;-00.000198400000;   3.78000;-1,024
;;;-00.000198200000;   3.75200;-1,008
;;;-00.000198000000;   3.72400;-1,024
;;;-00.000197800000;   3.72400;-1,024
;;;-00.000197600000;   3.72400;-1,04
;;;-00.000197400000;   3.75200;-1,04
;;;-00.000197200000;   3.72400;-1,04
;;;-00.000197000000;   3.72400;-1,024
;;;-00.000196800000;   3.75200;-1,024
;;;-00.000196600000;   3.72400;-1,04
;;;-00.000196400000;   3.78000;-1,04
;;;-00.000196200000;   3.72400;-1,008
;;;-00.000196000000;   3.69600;-1,024
;;;-00.000195800000;   3.69600;-1,04
;;;-00.000195600000;   3.69600;-1,04
;;;-00.000195400000;   3.69600;-1,04
;;;-00.000195200000;   3.69600;-1,024
;;;-00.000195000000;   3.72400;-1,024
;;;-00.000194800000;   3.72400;-1,04
;;;-00.000194600000;   3.75200;-1,024
;;;-00.000194400000;   3.72400;-1,024
;;;-00.000194200000;   3.69600;-1,008
;;;-00.000194000000;   3.72400;-0,992
;;;-00.000193800000;   3.72400;-1,024
;;;-00.000193600000;   3.72400;-1,008
;;;-00.000193400000;   3.72400;-1,008
;;;-00.000193200000;   3.69600;-1,024
;;;-00.000193000000;   3.64000;-0,992
;;;-00.000192800000;   3.72400;-0,992
;;;-00.000192600000;   3.66800;-1,024
;;;-00.000192400000;   3.66800;-1,008
;;;-00.000192200000;   3.66800;-0,992
;;;-00.000192000000;   3.72400;-1,024
;;;-00.000191800000;   3.66800;-1,024
;;;-00.000191600000;   3.66800;-0,992
;;;-00.000191400000;   3.69600;-1,024
;;;-00.000191200000;   3.66800;-1,024
;;;-00.000191000000;   3.69600;-0,992
;;;-00.000190800000;   3.66800;-0,992
;;;-00.000190600000;   3.66800;-1,024
;;;-00.000190400000;   3.66800;-1,008
;;;-00.000190200000;   3.66800;-1,008
;;;-00.000190000000;   3.66800;-0,992
;;;-00.000189800000;   3.66800;-0,992
;;;-00.000189600000;   3.61200;-0,992
;;;-00.000189400000;   3.69600;-0,992
;;;-00.000189200000;   3.66800;-1,008
;;;-00.000189000000;   3.61200;-0,992
;;;-00.000188800000;   3.66800;-0,992
;;;-00.000188600000;   3.69600;-0,992
;;;-00.000188400000;   3.69600;-0,992
;;;-00.000188200000;   3.61200;-0,992
;;;-00.000188000000;   3.64000;-0,992
;;;-00.000187800000;   3.64000;-0,992
;;;-00.000187600000;   3.66800;-0,976
;;;-00.000187400000;   3.61200;-0,992
;;;-00.000187200000;   3.64000;-0,976
;;;-00.000187000000;   3.64000;-0,96
;;;-00.000186800000;   3.61200;-0,992
;;;-00.000186600000;   3.61200;-0,992
;;;-00.000186400000;   3.64000;-0,976
;;;-00.000186200000;   3.64000;-0,992
;;;-00.000186000000;   3.61200;-1,008
;;;-00.000185800000;   3.64000;-0,992
;;;-00.000185600000;   3.58400;-0,992
;;;-00.000185400000;   3.66800;-0,976
;;;-00.000185200000;   3.64000;-0,992
;;;-00.000185000000;   3.61200;-0,976
;;;-00.000184800000;   3.66800;-0,944
;;;-00.000184600000;   3.64000;-0,96
;;;-00.000184400000;   3.64000;-0,976
;;;-00.000184200000;   3.64000;-0,976
;;;-00.000184000000;   3.58400;-0,96
;;;-00.000183800000;   3.64000;-0,976
;;;-00.000183600000;   3.64000;-0,96
;;;-00.000183400000;   3.64000;-0,96
;;;-00.000183200000;   3.61200;-0,96
;;;-00.000183000000;   3.61200;-0,96
;;;-00.000182800000;   3.61200;-0,944
;;;-00.000182600000;   3.61200;-0,976
;;;-00.000182400000;   3.64000;-0,976
;;;-00.000182200000;   3.61200;-0,944
;;;-00.000182000000;   3.58400;-0,944
;;;-00.000181800000;   3.58400;-0,96
;;;-00.000181600000;   3.64000;-0,944
;;;-00.000181400000;   3.58400;-0,976
;;;-00.000181200000;   3.61200;-0,944
;;;-00.000181000000;   3.61200;-0,96
;;;-00.000180800000;   3.61200;-0,944
;;;-00.000180600000;   3.55600;-0,976
;;;-00.000180400000;   3.61200;-0,944
;;;-00.000180200000;   3.58400;-0,928
;;;-00.000180000000;   3.58400;-0,944
;;;-00.000179800000;   3.61200;-0,928
;;;-00.000179600000;   3.55600;-0,944
;;;-00.000179400000;   3.58400;-0,928
;;;-00.000179200000;   3.58400;-0,944
;;;-00.000179000000;   3.61200;-0,944
;;;-00.000178800000;   3.52800;-0,944
;;;-00.000178600000;   3.61200;-0,928
;;;-00.000178400000;   3.58400;-0,944
;;;-00.000178200000;   3.58400;-0,944
;;;-00.000178000000;   3.58400;-0,928
;;;-00.000177800000;   3.58400;-0,944
;;;-00.000177600000;   3.58400;-0,928
;;;-00.000177400000;   3.55600;-0,928
;;;-00.000177200000;   3.52800;-0,944
;;;-00.000177000000;   3.61200;-0,928
;;;-00.000176800000;   3.55600;-0,928
;;;-00.000176600000;   3.55600;-0,928
;;;-00.000176400000;   3.58400;-0,928
;;;-00.000176200000;   3.55600;-0,928
;;;-00.000176000000;   3.58400;-0,928
;;;-00.000175800000;   3.52800;-0,928
;;;-00.000175600000;   3.55600;-0,928
;;;-00.000175400000;   3.52800;-0,928
;;;-00.000175200000;   3.58400;-0,928
;;;-00.000175000000;   3.55600;-0,928
;;;-00.000174800000;   3.52800;-0,896
;;;-00.000174600000;   3.55600;-0,928
;;;-00.000174400000;   3.52800;-0,896
;;;-00.000174200000;   3.55600;-0,912
;;;-00.000174000000;   3.55600;-0,928
;;;-00.000173800000;   3.58400;-0,896
;;;-00.000173600000;   3.55600;-0,928
;;;-00.000173400000;   3.50000;-0,896
;;;-00.000173200000;   3.52800;-0,896
;;;-00.000173000000;   3.52800;-0,912
;;;-00.000172800000;   3.50000;-0,88
;;;-00.000172600000;   3.55600;-0,912
;;;-00.000172400000;   3.55600;-0,912
